fold,role,kind,feature,n_rows,missing_before_cleaning,inf_before_cleaning,invalid_denominator_count,missing_after_cleaning,inf_after_cleaning
1,train,source,sleep_hr_average,139,0,0,0,0,0
1,train,source,sleep_hr_lowest,139,0,0,0,0,0
1,train,source,circadian_IV,139,0,0,0,0,0
1,train,source,circadian_IS,139,0,0,0,0,0
1,train,derived,HR_drop_ratio,139,0,0,0,0,0
1,train,derived,Circadian_Strain,139,0,0,0,0,0
1,test,source,sleep_hr_average,35,0,0,0,0,0
1,test,source,sleep_hr_lowest,35,0,0,0,0,0
1,test,source,circadian_IV,35,0,0,0,0,0
1,test,source,circadian_IS,35,0,0,0,0,0
1,test,derived,HR_drop_ratio,35,0,0,0,0,0
1,test,derived,Circadian_Strain,35,0,0,0,0,0
2,train,source,sleep_hr_average,139,0,0,0,0,0
2,train,source,sleep_hr_lowest,139,0,0,0,0,0
2,train,source,circadian_IV,139,0,0,0,0,0
2,train,source,circadian_IS,139,0,0,0,0,0
2,train,derived,HR_drop_ratio,139,0,0,0,0,0
2,train,derived,Circadian_Strain,139,0,0,0,0,0
2,test,source,sleep_hr_average,35,0,0,0,0,0
2,test,source,sleep_hr_lowest,35,0,0,0,0,0
2,test,source,circadian_IV,35,0,0,0,0,0
2,test,source,circadian_IS,35,0,0,0,0,0
2,test,derived,HR_drop_ratio,35,0,0,0,0,0
2,test,derived,Circadian_Strain,35,0,0,0,0,0
3,train,source,sleep_hr_average,139,0,0,0,0,0
3,train,source,sleep_hr_lowest,139,0,0,0,0,0
3,train,source,circadian_IV,139,0,0,0,0,0
3,train,source,circadian_IS,139,0,0,0,0,0
3,train,derived,HR_drop_ratio,139,0,0,0,0,0
3,train,derived,Circadian_Strain,139,0,0,0,0,0
3,test,source,sleep_hr_average,35,0,0,0,0,0
3,test,source,sleep_hr_lowest,35,0,0,0,0,0
3,test,source,circadian_IV,35,0,0,0,0,0
3,test,source,circadian_IS,35,0,0,0,0,0
3,test,derived,HR_drop_ratio,35,0,0,0,0,0
3,test,derived,Circadian_Strain,35,0,0,0,0,0
4,train,source,sleep_hr_average,139,0,0,0,0,0
4,train,source,sleep_hr_lowest,139,0,0,0,0,0
4,train,source,circadian_IV,139,0,0,0,0,0
4,train,source,circadian_IS,139,0,0,0,0,0
4,train,derived,HR_drop_ratio,139,0,0,0,0,0
4,train,derived,Circadian_Strain,139,0,0,0,0,0
4,test,source,sleep_hr_average,35,0,0,0,0,0
4,test,source,sleep_hr_lowest,35,0,0,0,0,0
4,test,source,circadian_IV,35,0,0,0,0,0
4,test,source,circadian_IS,35,0,0,0,0,0
4,test,derived,HR_drop_ratio,35,0,0,0,0,0
4,test,derived,Circadian_Strain,35,0,0,0,0,0
5,train,source,sleep_hr_average,140,0,0,0,0,0
5,train,source,sleep_hr_lowest,140,0,0,0,0,0
5,train,source,circadian_IV,140,0,0,0,0,0
5,train,source,circadian_IS,140,0,0,0,0,0
5,train,derived,HR_drop_ratio,140,0,0,0,0,0
5,train,derived,Circadian_Strain,140,0,0,0,0,0
5,test,source,sleep_hr_average,34,0,0,0,0,0
5,test,source,sleep_hr_lowest,34,0,0,0,0,0
5,test,source,circadian_IV,34,0,0,0,0,0
5,test,source,circadian_IS,34,0,0,0,0,0
5,test,derived,HR_drop_ratio,34,0,0,0,0,0
5,test,derived,Circadian_Strain,34,0,0,0,0,0
0,oof_unique_input,derived,Circadian_Strain,174,0,0,0,0,0
0,oof_unique_input,derived,HR_drop_ratio,174,0,0,0,0,0
0,oof_unique_input,source,circadian_IS,174,0,0,0,0,0
0,oof_unique_input,source,circadian_IV,174,0,0,0,0,0
0,oof_unique_input,source,sleep_hr_average,174,0,0,0,0,0
0,oof_unique_input,source,sleep_hr_lowest,174,0,0,0,0,0
