column,reason
EMAIL,identifier_or_split_metadata
activity_average_met,not_in_fixed_domain_features
activity_cal_active,not_in_fixed_domain_features
activity_cal_total,not_in_fixed_domain_features
activity_daily_movement,not_in_fixed_domain_features
activity_high,not_in_fixed_domain_features
activity_inactive,not_in_fixed_domain_features
activity_inactivity_alerts,not_in_fixed_domain_features
activity_low,not_in_fixed_domain_features
activity_medium,not_in_fixed_domain_features
activity_met_min_high,not_in_fixed_domain_features
activity_met_min_inactive,not_in_fixed_domain_features
activity_met_min_low,not_in_fixed_domain_features
activity_met_min_medium,not_in_fixed_domain_features
activity_non_wear,not_in_fixed_domain_features
activity_rest,not_in_fixed_domain_features
activity_score,not_in_fixed_domain_features
activity_score_meet_daily_targets,not_in_fixed_domain_features
activity_score_move_every_hour,not_in_fixed_domain_features
activity_score_recovery_time,not_in_fixed_domain_features
activity_score_stay_active,not_in_fixed_domain_features
activity_score_training_frequency,not_in_fixed_domain_features
activity_score_training_volume,not_in_fixed_domain_features
activity_steps,not_in_fixed_domain_features
activity_total,not_in_fixed_domain_features
sleep_awake,not_in_fixed_domain_features
sleep_deep,not_in_fixed_domain_features
sleep_duration,not_in_fixed_domain_features
sleep_efficiency,not_in_fixed_domain_features
sleep_hr_average,not_in_fixed_domain_features
sleep_hr_lowest,not_in_fixed_domain_features
sleep_light,not_in_fixed_domain_features
sleep_midpoint_at_delta,not_in_fixed_domain_features
sleep_midpoint_time,not_in_fixed_domain_features
sleep_onset_latency,not_in_fixed_domain_features
sleep_period_id,identifier_or_split_metadata
sleep_rem,not_in_fixed_domain_features
sleep_restless,not_in_fixed_domain_features
sleep_rmssd,not_in_fixed_domain_features
sleep_score,not_in_fixed_domain_features
sleep_score_deep,not_in_fixed_domain_features
sleep_score_disturbances,not_in_fixed_domain_features
sleep_score_efficiency,not_in_fixed_domain_features
sleep_score_latency,not_in_fixed_domain_features
sleep_score_rem,not_in_fixed_domain_features
sleep_score_total,not_in_fixed_domain_features
sleep_temperature_delta,not_in_fixed_domain_features
sleep_temperature_deviation,not_in_fixed_domain_features
sleep_total,not_in_fixed_domain_features
sleep_start_hour,not_in_fixed_domain_features
sleep_end_hour,not_in_fixed_domain_features
sleep_time_calculated,not_in_fixed_domain_features
activity_class_0_count,not_in_fixed_domain_features
activity_class_0_ratio,not_in_fixed_domain_features
activity_class_1_count,not_in_fixed_domain_features
activity_class_1_ratio,not_in_fixed_domain_features
activity_class_2_count,not_in_fixed_domain_features
activity_class_2_ratio,not_in_fixed_domain_features
activity_class_3_count,not_in_fixed_domain_features
activity_class_3_ratio,not_in_fixed_domain_features
activity_class_4_count,not_in_fixed_domain_features
activity_class_4_ratio,not_in_fixed_domain_features
activity_class_5_count,not_in_fixed_domain_features
activity_class_5_ratio,not_in_fixed_domain_features
activity_rest_ratio,not_in_fixed_domain_features
activity_inactive_ratio,not_in_fixed_domain_features
activity_active_ratio,not_in_fixed_domain_features
activity_not_worn_ratio,not_in_fixed_domain_features
activity_class_valid_count,not_in_fixed_domain_features
activity_met_1min_mean,not_in_fixed_domain_features
activity_met_1min_std,not_in_fixed_domain_features
activity_met_1min_var,not_in_fixed_domain_features
activity_met_1min_min,not_in_fixed_domain_features
activity_met_1min_max,not_in_fixed_domain_features
activity_met_1min_median,not_in_fixed_domain_features
activity_met_1min_q25,not_in_fixed_domain_features
activity_met_1min_q75,not_in_fixed_domain_features
activity_met_1min_iqr,not_in_fixed_domain_features
sleep_hr_5min_mean,not_in_fixed_domain_features
sleep_hr_5min_std,not_in_fixed_domain_features
sleep_hr_5min_var,not_in_fixed_domain_features
sleep_hr_5min_min,not_in_fixed_domain_features
sleep_hr_5min_max,not_in_fixed_domain_features
sleep_hr_5min_median,not_in_fixed_domain_features
sleep_hr_5min_q25,not_in_fixed_domain_features
sleep_hr_5min_q75,not_in_fixed_domain_features
sleep_hr_5min_iqr,not_in_fixed_domain_features
sleep_hr_5min_valid_count,not_in_fixed_domain_features
sleep_rmssd_5min_mean,not_in_fixed_domain_features
