feature,missing_fraction,nonmissing_fraction,unique_nonmissing,family
activity__scalar_activity_average_met__iqr,0.0,1.0,26,activity
activity__scalar_activity_average_met__mean,0.0,1.0,141,activity
activity__scalar_activity_average_met__median,0.0,1.0,33,activity
activity__scalar_activity_average_met__q10,0.0,1.0,44,activity
activity__scalar_activity_average_met__q90,0.0,1.0,58,activity
activity__scalar_activity_average_met__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_average_met__recent_early,0.0,1.0,23,activity
activity__scalar_activity_average_met__std,0.0,1.0,141,activity
activity__scalar_activity_cal_active__iqr,0.0,1.0,128,activity
activity__scalar_activity_cal_active__mean,0.0,1.0,141,activity
activity__scalar_activity_cal_active__median,0.0,1.0,136,activity
activity__scalar_activity_cal_active__q10,0.0,1.0,140,activity
activity__scalar_activity_cal_active__q90,0.0,1.0,140,activity
activity__scalar_activity_cal_active__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_cal_active__recent_early,0.0,1.0,126,activity
activity__scalar_activity_cal_active__std,0.0,1.0,141,activity
activity__scalar_activity_cal_total__iqr,0.0,1.0,131,activity
activity__scalar_activity_cal_total__mean,0.0,1.0,141,activity
activity__scalar_activity_cal_total__median,0.0,1.0,133,activity
activity__scalar_activity_cal_total__q10,0.0,1.0,139,activity
activity__scalar_activity_cal_total__q90,0.0,1.0,139,activity
activity__scalar_activity_cal_total__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_cal_total__recent_early,0.0,1.0,128,activity
activity__scalar_activity_cal_total__std,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__iqr,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__mean,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__median,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__q10,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__q90,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__recent_early,0.0,1.0,141,activity
activity__scalar_activity_daily_movement__std,0.0,1.0,141,activity
activity__scalar_activity_high__iqr,0.0,1.0,29,activity
activity__scalar_activity_high__mean,0.0,1.0,140,activity
activity__scalar_activity_high__median,0.0,1.0,16,activity
activity__scalar_activity_high__q10,0.0,1.0,10,activity
activity__scalar_activity_high__q90,0.0,1.0,61,activity
activity__scalar_activity_high__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_high__recent_early,0.0,1.0,18,activity
activity__scalar_activity_high__std,0.0,1.0,141,activity
activity__scalar_activity_inactive__iqr,0.0,1.0,119,activity
activity__scalar_activity_inactive__mean,0.0,1.0,141,activity
activity__scalar_activity_inactive__median,0.0,1.0,125,activity
activity__scalar_activity_inactive__q10,0.0,1.0,140,activity
activity__scalar_activity_inactive__q90,0.0,1.0,139,activity
activity__scalar_activity_inactive__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_inactive__recent_early,0.0,1.0,104,activity
activity__scalar_activity_inactive__std,0.0,1.0,141,activity
activity__scalar_activity_inactivity_alerts__iqr,0.0,1.0,7,activity
activity__scalar_activity_inactivity_alerts__mean,0.0,1.0,134,activity
activity__scalar_activity_inactivity_alerts__median,0.0,1.0,3,activity
activity__scalar_activity_inactivity_alerts__q10,0.0,1.0,1,activity
activity__scalar_activity_inactivity_alerts__q90,0.0,1.0,13,activity
activity__scalar_activity_inactivity_alerts__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_inactivity_alerts__recent_early,0.0,1.0,5,activity
activity__scalar_activity_inactivity_alerts__std,0.0,1.0,140,activity
activity__scalar_activity_low__iqr,0.0,1.0,118,activity
activity__scalar_activity_low__mean,0.0,1.0,141,activity
activity__scalar_activity_low__median,0.0,1.0,125,activity
activity__scalar_activity_low__q10,0.0,1.0,135,activity
activity__scalar_activity_low__q90,0.0,1.0,137,activity
activity__scalar_activity_low__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_low__recent_early,0.0,1.0,115,activity
activity__scalar_activity_low__std,0.0,1.0,141,activity
activity__scalar_activity_medium__iqr,0.0,1.0,109,activity
activity__scalar_activity_medium__mean,0.0,1.0,141,activity
activity__scalar_activity_medium__median,0.0,1.0,96,activity
activity__scalar_activity_medium__q10,0.0,1.0,93,activity
activity__scalar_activity_medium__q90,0.0,1.0,136,activity
activity__scalar_activity_medium__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_medium__recent_early,0.0,1.0,75,activity
activity__scalar_activity_medium__std,0.0,1.0,141,activity
activity__scalar_activity_met_min_high__iqr,0.0,1.0,68,activity
activity__scalar_activity_met_min_high__mean,0.0,1.0,140,activity
activity__scalar_activity_met_min_high__median,0.0,1.0,46,activity
activity__scalar_activity_met_min_high__q10,0.0,1.0,19,activity
activity__scalar_activity_met_min_high__q90,0.0,1.0,103,activity
activity__scalar_activity_met_min_high__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_met_min_high__recent_early,0.0,1.0,48,activity
activity__scalar_activity_met_min_high__std,0.0,1.0,141,activity
activity__scalar_activity_met_min_inactive__iqr,0.0,1.0,17,activity
activity__scalar_activity_met_min_inactive__mean,0.0,1.0,141,activity
activity__scalar_activity_met_min_inactive__median,0.0,1.0,19,activity
activity__scalar_activity_met_min_inactive__q10,0.0,1.0,31,activity
activity__scalar_activity_met_min_inactive__q90,0.0,1.0,39,activity
activity__scalar_activity_met_min_inactive__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_met_min_inactive__recent_early,0.0,1.0,13,activity
activity__scalar_activity_met_min_inactive__std,0.0,1.0,141,activity
activity__scalar_activity_met_min_low__iqr,0.0,1.0,116,activity
activity__scalar_activity_met_min_low__mean,0.0,1.0,141,activity
activity__scalar_activity_met_min_low__median,0.0,1.0,116,activity
activity__scalar_activity_met_min_low__q10,0.0,1.0,133,activity
activity__scalar_activity_met_min_low__q90,0.0,1.0,139,activity
activity__scalar_activity_met_min_low__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_met_min_low__recent_early,0.0,1.0,101,activity
activity__scalar_activity_met_min_low__std,0.0,1.0,141,activity
activity__scalar_activity_met_min_medium__iqr,0.0,1.0,129,activity
activity__scalar_activity_met_min_medium__mean,0.0,1.0,141,activity
activity__scalar_activity_met_min_medium__median,0.0,1.0,129,activity
activity__scalar_activity_met_min_medium__q10,0.0,1.0,122,activity
activity__scalar_activity_met_min_medium__q90,0.0,1.0,139,activity
activity__scalar_activity_met_min_medium__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_met_min_medium__recent_early,0.0,1.0,111,activity
activity__scalar_activity_met_min_medium__std,0.0,1.0,141,activity
activity__scalar_activity_non_wear__iqr,0.0,1.0,102,activity
activity__scalar_activity_non_wear__mean,0.0,1.0,141,activity
activity__scalar_activity_non_wear__median,0.0,1.0,49,activity
activity__scalar_activity_non_wear__q10,0.0,1.0,15,activity
activity__scalar_activity_non_wear__q90,0.0,1.0,131,activity
activity__scalar_activity_non_wear__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_non_wear__recent_early,0.0,1.0,58,activity
activity__scalar_activity_non_wear__std,0.0,1.0,141,activity
activity__scalar_activity_rest__iqr,0.0,1.0,117,activity
activity__scalar_activity_rest__mean,0.0,1.0,141,activity
activity__scalar_activity_rest__median,0.0,1.0,124,activity
activity__scalar_activity_rest__q10,0.0,1.0,134,activity
activity__scalar_activity_rest__q90,0.0,1.0,135,activity
activity__scalar_activity_rest__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_rest__recent_early,0.0,1.0,107,activity
activity__scalar_activity_rest__std,0.0,1.0,141,activity
activity__scalar_activity_score__iqr,0.0,1.0,62,activity
activity__scalar_activity_score__mean,0.0,1.0,140,activity
activity__scalar_activity_score__median,0.0,1.0,60,activity
activity__scalar_activity_score__q10,0.0,1.0,86,activity
activity__scalar_activity_score__q90,0.0,1.0,56,activity
activity__scalar_activity_score__rank_slope,0.0,1.0,141,activity
activity__scalar_activity_score__recent_early,0.0,1.0,53,activity
activity__scalar_activity_score__std,0.0,1.0,141,activity
