feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta,bootstrap_delta_ci_low,bootstrap_delta_ci_high,bootstrap_sign_consistency
sleep__event7__sleep__raw__sleep_light__p90,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,19491.0,17490.0,0.3134453781512605,0.5421662263767527,0.6567226890756303,0.0,0.3134453781512605,0.12256827731092436,0.47763130252100844,1.0
sleep__event28__sleep__stage__entropy__iqr,sleep:variability,IMPAIRED_vs_CN,56,85,0.1278800143981984,0.11245992523967452,0.3,0.3314296758890228,0.65,0.0,0.3,0.1204621848739496,0.47523109243697476,1.0
sleep__event28__sleep__stage__entropy__mad,sleep:variability,IMPAIRED_vs_CN,56,85,0.06597522961687502,0.05722888495190137,0.2819327731092437,0.35125697195837896,0.6409663865546219,0.0,0.2819327731092437,0.09385504201680672,0.4647058823529412,1.0
activity__event14__activity__circadian__peak_cos__p10,activity:level,IMPAIRED_vs_CN,56,85,-0.9409507206629109,-0.9659258262890682,0.2815126050420168,0.28133651549791766,0.6407563025210085,0.0,0.2815126050420168,0.09032563025210084,0.45642331932773106,0.996
sleep__event7__sleep__hr__lowest_clock_cos__theil_sen_rank_slope,sleep:change,IMPAIRED_vs_CN,56,85,0.08930197692169785,-0.0429191453833453,0.2773109243697479,0.3590648986349204,0.6386554621848739,0.0,0.2773109243697479,0.07510504201680673,0.46682773109243697,0.998
activity__event7__activity__circadian__peak_cos__p10,activity:level,IMPAIRED_vs_CN,56,85,-0.9059855727862905,-0.9659258262890682,0.2676470588235294,0.4934580440181258,0.6338235294117647,0.0,0.2676470588235294,0.08954831932773111,0.4528623949579832,0.992
sleep__event14__sleep__clock__bedtime_sin__p10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.7658080544825006,-0.6495568720260877,-0.26554621848739496,-0.3430554725579494,0.6327731092436975,0.0,0.26554621848739496,-0.42755252100840335,-0.08625000000000009,0.992
sleep__event14__sleep__stage__deep_ratio__p90,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.2234781717565075,0.27231578947368423,-0.2647058823529412,-0.35208974820239447,0.6323529411764706,0.0,0.2647058823529412,-0.44660714285714287,-0.0659243697478992,1.0
activity__event14__activity__circadian__peak_cos__median,activity:level,IMPAIRED_vs_CN,56,85,-0.6553300858899108,-0.7071067811865479,0.2642857142857143,0.22052399263579048,0.6321428571428571,0.0,0.2642857142857143,0.07448529411764707,0.4561764705882352,0.996
sleep__event14__sleep__raw__sleep_awake__p10,sleep:level,IMPAIRED_vs_CN,56,85,3238.5,2589.0,0.2638655462184874,0.433,0.6319327731092437,0.0,0.2638655462184874,0.0636029411764706,0.4579831932773109,0.996
sleep__event14__sleep__raw__sleep_awake__trimmed_mean_10,sleep:level,IMPAIRED_vs_CN,56,85,5430.0,4990.0,0.25987394957983195,0.16307621033124856,0.629936974789916,0.0,0.25987394957983195,0.08556197478991596,0.4430777310924369,0.998
sleep__event14__sleep__stage__deep_ratio__trimmed_mean_10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.15360539280952507,0.19086871500767708,-0.25672268907563023,-0.3129778810425306,0.6283613445378151,0.0,0.25672268907563023,-0.4367016806722689,-0.06356092436974799,0.994
activity__event7__activity__met__trimmed_mean_10__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,0.032640363927386784,-0.021343526855981176,0.25546218487394956,0.40892534312897205,0.6277310924369748,0.0,0.25546218487394956,0.07019957983193278,0.4475,0.994
activity__event7__activity__raw__activity_daily_movement__mad,activity:variability,IMPAIRED_vs_CN,56,85,1385.5,1791.0,-0.25504201680672267,-0.3300437480923797,0.6275210084033613,0.0,0.25504201680672267,-0.43972163865546215,-0.07184873949579831,0.998
sleep__event14__sleep__duration__deep_ratio__trimmed_mean_10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.15941790202687955,0.18798291348857435,-0.2546218487394958,-0.26634744864534105,0.6273109243697479,0.0,0.2546218487394958,-0.4473214285714286,-0.06254201680672274,0.99
sleep__event14__sleep__raw__sleep_awake__median,sleep:level,IMPAIRED_vs_CN,56,85,5137.5,4365.0,0.25357142857142856,0.26840390879478826,0.6267857142857143,0.0,0.25357142857142856,0.07391281512605043,0.44813025210084034,0.992
sleep__event28__sleep__raw__sleep_score_deep__mad,sleep:variability,IMPAIRED_vs_CN,56,85,4.5,1.5,0.25357142857142856,0.25396825396825395,0.6267857142857143,0.0,0.25357142857142856,0.06738970588235295,0.4200892857142857,1.0
sleep__event14__sleep__raw__sleep_score_disturbances__mad,sleep:variability,IMPAIRED_vs_CN,56,85,4.75,4.0,0.2533613445378151,0.3,0.6266806722689076,0.0,0.2533613445378151,0.08673319327731092,0.439579831932773,0.998
sleep__event7__sleep__clock__bedtime_cos__mad,sleep:variability,IMPAIRED_vs_CN,56,85,0.054290882611113755,0.03331740166750197,0.2504201680672269,0.31042153549055257,0.6252100840336134,0.0,0.2504201680672269,0.06502100840336135,0.4154096638655462,0.992
sleep__event7__sleep__clock__bedtime_sin__p10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.7524477870637705,-0.6365287782034396,-0.2504201680672269,-0.35095463643212715,0.6252100840336134,0.0,0.2504201680672269,-0.41043067226890756,-0.06279411764705903,0.994
sleep__event7__sleep__raw__sleep_light__trimmed_mean_10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,15565.714285714286,14070.0,0.2504201680672269,0.4278271529267548,0.6252100840336134,0.0,0.2504201680672269,0.06378151260504203,0.4397584033613445,0.996
sleep__event14__sleep__duration__deep_ratio__p90,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.22271430651611487,0.2590608139493336,-0.2504201680672269,-0.2733496699720419,0.6252100840336134,0.0,0.2504201680672269,-0.44900210084033615,-0.06026260504201684,0.996
activity__event7__activity__raw__activity_cal_active__mad,activity:variability,IMPAIRED_vs_CN,56,85,64.5,92.0,-0.25021008403361344,-0.4280155642023346,0.6251050420168067,0.0,0.25021008403361344,-0.41156512605042017,-0.06569327731092443,0.994
sleep__event28__sleep__raw__sleep_awake__trimmed_mean_10,sleep:level,IMPAIRED_vs_CN,56,85,5538.125,5018.75,0.25021008403361344,0.22550881953867027,0.6251050420168067,0.0,0.25021008403361344,0.06446428571428571,0.42401260504201677,0.996
sleep__event28__sleep__clock__bedtime_sin__trimmed_mean_10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.49787485788401775,-0.3588837261750655,-0.24915966386554622,-0.38467246071034283,0.6245798319327731,0.0,0.24915966386554622,-0.44232142857142853,-0.07496848739495801,0.996
sleep__event14__sleep__stage__deep_longest_run_ratio__p90,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.08990927305662735,0.10500000000000001,-0.24894957983193278,-0.3340848861984692,0.6244747899159664,0.0,0.24894957983193278,-0.431843487394958,-0.06712184873949589,0.992
sleep__event14__sleep__raw__sleep_midpoint_at_delta__iqr,sleep:variability,IMPAIRED_vs_CN,56,85,4280.375,3248.75,0.24747899159663866,0.41528707291299755,0.6237394957983193,0.0,0.24747899159663866,0.04573529411764706,0.4480672268907561,1.0
sleep__event28__sleep__stage__light_ratio__iqr,sleep:variability,IMPAIRED_vs_CN,56,85,0.09891520092961506,0.09109791057941452,0.24705882352941178,0.26038993006032674,0.6235294117647059,0.0,0.24705882352941178,0.05798319327731093,0.44309873949579826,0.994
sleep__event28__sleep__stage__deep_longest_run_ratio__p10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.02755737080363946,0.03642463455547568,-0.24663865546218489,-0.4126575014536446,0.6233193277310924,0.0,0.24663865546218489,-0.4187289915966387,-0.08306197478991599,0.996
sleep__event14__sleep__raw__sleep_duration__p90,sleep:level,IMPAIRED_vs_CN,56,85,36594.0,34344.0,0.24642857142857144,0.3360591464097683,0.6232142857142857,0.0,0.24642857142857144,0.03883928571428572,0.4140861344537815,0.994
sleep__event14__sleep__stage__awake_ratio__p10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.1061351217088922,0.08675213675213675,0.246218487394958,0.34179880025534026,0.623109243697479,0.0,0.246218487394958,0.05757352941176472,0.4248739495798318,0.992
sleep__event14__sleep__raw__sleep_light__p90,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,19756.5,18162.000000000004,0.24600840336134452,0.41313641663427814,0.6230042016806723,0.0,0.24600840336134452,0.047836134453781515,0.4112552521008403,0.992
sleep__event14__sleep__duration__deep_ratio__median,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.15627483383179597,0.18480129065235448,-0.2449579831932773,-0.23823847634835688,0.6224789915966387,0.0,0.2449579831932773,-0.4300525210084034,-0.05750000000000006,0.994
sleep__event14__sleep__stage__awake_longest_run_ratio__theil_sen_rank_slope,sleep:change,IMPAIRED_vs_CN,56,85,-0.005139336436328915,0.0015582858855259201,-0.2449579831932773,-0.29262549868634075,0.6224789915966387,0.0,0.2449579831932773,-0.4262920168067227,-0.0560399159663866,0.996
activity__event7__activity__met__sedentary_ratio__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,-0.01666666666666677,0.016666666666666607,-0.2445378151260504,-0.3885944021450108,0.6222689075630252,0.0,0.2445378151260504,-0.41897058823529415,-0.02600840336134458,0.996
sleep__event14__sleep__stage__deep_ratio__median,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.1477591355400344,0.18665377176015474,-0.24243697478991597,-0.321922530356914,0.621218487394958,0.0,0.24243697478991597,-0.42271008403361343,-0.051039915966386566,0.998
sleep__event14__sleep__clock__bedtime_cos__trimmed_mean_10,sleep:circadian,IMPAIRED_vs_CN,56,85,0.8120816091671654,0.872094513179663,-0.23991596638655463,-0.3649254704061497,0.6199579831932773,0.0,0.23991596638655463,-0.4166071428571429,-0.026575630252101128,0.984
sleep__event28__sleep__raw__sleep_awake__median,sleep:level,IMPAIRED_vs_CN,56,85,5407.5,4590.0,0.23991596638655463,0.32561613144137413,0.6199579831932773,0.0,0.23991596638655463,0.04750525210084034,0.43944852941176465,0.986
sleep__event28__sleep__stage__light_ratio__mad,sleep:variability,IMPAIRED_vs_CN,56,85,0.0509164028281886,0.046875,0.23991596638655463,0.2550919585945638,0.6199579831932773,0.0,0.23991596638655463,0.03804621848739497,0.4223109243697479,0.99
sleep__event28__sleep__clock__bedtime_sin__p10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.7875888606968287,-0.6689872030522251,-0.23865546218487396,-0.38866825672227934,0.619327731092437,0.0,0.23865546218487396,-0.4153886554621849,-0.0359138655462185,0.992
sleep__event14__sleep__clock__bedtime_sin__trimmed_mean_10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.4630355389212756,-0.3331335317344701,-0.23781512605042016,-0.32043119686432725,0.6189075630252101,0.0,0.23781512605042016,-0.42409663865546215,-0.03465336134453783,0.99
sleep__event7__sleep__raw__sleep_score_alignment__median,sleep:level,IMPAIRED_vs_CN,56,85,100.0,100.0,0.2376050420168067,0.0,0.6188025210084034,0.0,0.2376050420168067,0.08128151260504202,0.4062237394957981,0.998
sleep__event28__sleep__duration__deep_ratio__median,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.15233655150199688,0.1856501636799298,-0.23739495798319327,-0.31544671974635624,0.6186974789915967,0.0,0.23739495798319327,-0.4194327731092437,-0.05544117647058826,0.992
sleep__event28__sleep__clock__bedtime_cos__trimmed_mean_10,sleep:circadian,IMPAIRED_vs_CN,56,85,0.8123202467539732,0.8718286077884447,-0.2365546218487395,-0.3308751762531184,0.6182773109243698,0.0,0.2365546218487395,-0.41870798319327734,-0.054401260504201694,0.996
sleep__event7__sleep__raw__sleep_score_alignment__mad,sleep:variability,IMPAIRED_vs_CN,56,85,0.0,0.0,-0.2361344537815126,0.0,0.6180672268907563,0.0,0.2361344537815126,-0.3941701680672269,-0.06909663865546221,1.0
sleep__event14__sleep__stage__deep_longest_run_ratio__trimmed_mean_10,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,0.05764991020530414,0.06548922998004598,-0.2357142857142857,-0.23012148663925755,0.6178571428571429,0.0,0.2357142857142857,-0.40809873949579833,-0.05267857142857148,0.992
sleep__event28__sleep__raw__sleep_awake__p10,sleep:level,IMPAIRED_vs_CN,56,85,2965.5,2535.0,0.23550420168067226,0.3076923076923077,0.6177521008403362,0.0,0.23550420168067226,0.0738077731092437,0.42423319327731085,1.0
sleep__event14__sleep__raw__sleep_light__median,sleep:sleep_stage,IMPAIRED_vs_CN,56,85,14767.5,13815.0,0.2342436974789916,0.24225083452551263,0.6171218487394958,0.0,0.2342436974789916,0.03705357142857143,0.40516806722689064,0.996
sleep__event28__sleep__clock__bedtime_sin__median,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.524754051341888,-0.37899311252392437,-0.23403361344537815,-0.38331950261684117,0.6170168067226891,0.0,0.23403361344537815,-0.4197689075630252,-0.050178571428571454,0.988
sleep__event7__sleep__clock__bedtime_sin__trimmed_mean_10,sleep:circadian,IMPAIRED_vs_CN,56,85,-0.43341809981558355,-0.3248015564813415,-0.23319327731092437,-0.2832045184828682,0.6165966386554622,0.0,0.23319327731092437,-0.3928991596638655,-0.035871848739495844,0.99
