feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta
activity__event7__activity__circadian__first_harmonic_ratio__median,activity:level,MCI_vs_CN,47,85,0.2348089685447631,0.23181050029518502,0.000750938673341677,0.04637803626966689,0.5003754693366709,0.0,0.000750938673341677
activity__event7__activity__circadian__first_harmonic_ratio__median,activity:level,DEM_vs_CN,9,85,0.21560161400784042,0.23181050029518502,-0.1607843137254902,-0.2631041563358523,0.580392156862745,0.0,0.1607843137254902
activity__event7__activity__circadian__first_harmonic_ratio__median,activity:level,IMPAIRED_vs_CN,56,85,0.23382882845782707,0.23181050029518502,-0.025210084033613446,0.03110524624365634,0.5126050420168067,0.0,0.025210084033613446
activity__event7__activity__circadian__first_harmonic_ratio__trimmed_mean_10,activity:level,MCI_vs_CN,47,85,0.23229116754640877,0.23676141761127198,0.00425531914893617,-0.07314358913070632,0.502127659574468,0.0,0.00425531914893617
activity__event7__activity__circadian__first_harmonic_ratio__trimmed_mean_10,activity:level,DEM_vs_CN,9,85,0.20759228539413013,0.23676141761127198,-0.2627450980392157,-0.5138019029618125,0.6313725490196078,0.0,0.2627450980392157
activity__event7__activity__circadian__first_harmonic_ratio__trimmed_mean_10,activity:level,IMPAIRED_vs_CN,56,85,0.230425901808702,0.23676141761127198,-0.03865546218487395,-0.10376173051724309,0.5193277310924369,0.0,0.03865546218487395
activity__event7__activity__circadian__first_harmonic_ratio__p10,activity:level,MCI_vs_CN,47,85,0.18383319947195412,0.1796758256939457,0.026282853566958697,0.08232388925843319,0.5131414267834794,0.0,0.026282853566958697
activity__event7__activity__circadian__first_harmonic_ratio__p10,activity:level,DEM_vs_CN,9,85,0.17057583422499087,0.1796758256939457,-0.1843137254901961,-0.12346945493530143,0.592156862745098,0.0,0.1843137254901961
activity__event7__activity__circadian__first_harmonic_ratio__p10,activity:level,IMPAIRED_vs_CN,56,85,0.17977880984380507,0.1796758256939457,-0.007563025210084034,0.0019196122161984433,0.503781512605042,0.0,0.007563025210084034
activity__event7__activity__circadian__first_harmonic_ratio__p90,activity:level,MCI_vs_CN,47,85,0.2953938450524518,0.30028197380779803,0.02127659574468085,-0.06781555763710372,0.5106382978723404,0.0,0.02127659574468085
activity__event7__activity__circadian__first_harmonic_ratio__p90,activity:level,DEM_vs_CN,9,85,0.2468954905512743,0.30028197380779803,-0.38300653594771245,-1.094967356784968,0.6915032679738562,0.0,0.38300653594771245
activity__event7__activity__circadian__first_harmonic_ratio__p90,activity:level,IMPAIRED_vs_CN,56,85,0.28183033185240103,0.30028197380779803,-0.043697478991596636,-0.249101819877076,0.5218487394957982,0.0,0.043697478991596636
activity__event7__activity__circadian__first_harmonic_ratio__iqr,activity:variability,MCI_vs_CN,47,85,0.051772541177526554,0.05333200447671513,-0.023779724655819776,-0.04129976156972101,0.5118898623279099,0.0,0.023779724655819776
activity__event7__activity__circadian__first_harmonic_ratio__iqr,activity:variability,DEM_vs_CN,9,85,0.04371588252006253,0.05333200447671513,-0.257516339869281,-0.361298552412437,0.6287581699346405,0.0,0.257516339869281
activity__event7__activity__circadian__first_harmonic_ratio__iqr,activity:variability,IMPAIRED_vs_CN,56,85,0.051705652232332464,0.05333200447671513,-0.06134453781512605,-0.04566941339918881,0.530672268907563,0.0,0.06134453781512605
activity__event7__activity__circadian__first_harmonic_ratio__mad,activity:variability,MCI_vs_CN,47,85,0.025427694195125305,0.02758557950542323,-0.07784730913642053,-0.09035848252720596,0.5389236545682103,0.0,0.07784730913642053
activity__event7__activity__circadian__first_harmonic_ratio__mad,activity:variability,DEM_vs_CN,9,85,0.026431063027805887,0.02758557950542323,-0.12941176470588237,-0.06601893316182623,0.5647058823529412,0.0,0.12941176470588237
activity__event7__activity__circadian__first_harmonic_ratio__mad,activity:variability,IMPAIRED_vs_CN,56,85,0.025493413271885056,0.02758557950542323,-0.0861344537815126,-0.09819412307402528,0.5430672268907564,0.0,0.0861344537815126
activity__event7__activity__circadian__first_harmonic_ratio__theil_sen_rank_slope,activity:change,MCI_vs_CN,47,85,0.01682263675136303,0.011972612528400928,0.0012515644555694619,0.0582999241393314,0.5006257822277848,0.0,0.0012515644555694619
activity__event7__activity__circadian__first_harmonic_ratio__theil_sen_rank_slope,activity:change,DEM_vs_CN,9,85,-0.00810776373708433,0.011972612528400928,-0.1738562091503268,-0.28320150792369864,0.5869281045751634,0.0,0.1738562091503268
activity__event7__activity__circadian__first_harmonic_ratio__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,0.007294635338550268,0.011972612528400928,-0.02689075630252101,-0.05559784512903202,0.5134453781512605,0.0,0.02689075630252101
activity__event7__activity__circadian__first_harmonic_ratio__late_half_minus_early_half,activity:change,MCI_vs_CN,47,85,0.0048216605960607894,0.009670252762691095,-0.0017521902377972466,-0.08735421889986524,0.5008760951188986,0.0,0.0017521902377972466
activity__event7__activity__circadian__first_harmonic_ratio__late_half_minus_early_half,activity:change,DEM_vs_CN,9,85,-0.00761024170573657,0.009670252762691095,-0.13202614379084968,-0.31673606501040563,0.5660130718954248,0.0,0.13202614379084968
activity__event7__activity__circadian__first_harmonic_ratio__late_half_minus_early_half,activity:change,IMPAIRED_vs_CN,56,85,0.004197475038600976,0.009670252762691095,-0.0226890756302521,-0.09827883476670922,0.511344537815126,0.0,0.0226890756302521
activity__event7__activity__circadian__l5__median,activity:level,MCI_vs_CN,47,85,0.9424999809265135,0.9403333175182343,0.056821026282853564,0.06770822230222852,0.5284105131414267,0.0,0.056821026282853564
activity__event7__activity__circadian__l5__median,activity:level,DEM_vs_CN,9,85,0.9329999816417693,0.9403333175182343,-0.16339869281045752,-0.23978206959462742,0.5816993464052287,0.0,0.16339869281045752
activity__event7__activity__circadian__l5__median,activity:level,IMPAIRED_vs_CN,56,85,0.9405833146969478,0.9403333175182343,0.02142857142857143,0.008080715927653985,0.5107142857142857,0.0,0.02142857142857143
activity__event7__activity__circadian__l5__trimmed_mean_10,activity:level,MCI_vs_CN,47,85,0.9502222037977642,0.9482777625322343,0.018272841051314142,0.05274789575591347,0.5091364205256571,0.0,0.018272841051314142
activity__event7__activity__circadian__l5__trimmed_mean_10,activity:level,DEM_vs_CN,9,85,0.9347777581214904,0.9482777625322343,-0.18169934640522875,-0.4473962261428344,0.5908496732026144,0.0,0.18169934640522875
activity__event7__activity__circadian__l5__trimmed_mean_10,activity:level,IMPAIRED_vs_CN,56,85,0.9496428382680531,0.9482777625322343,-0.013865546218487394,0.03755038480068426,0.5069327731092437,0.0,0.013865546218487394
activity__event7__activity__circadian__l5__p10,activity:level,MCI_vs_CN,47,85,0.9256666471163432,0.9259999807675678,-0.007259073842302879,-0.016481266144455897,0.5036295369211514,0.0,0.007259073842302879
activity__event7__activity__circadian__l5__p10,activity:level,DEM_vs_CN,9,85,0.9188333121935526,0.9259999807675678,-0.3202614379084967,-0.3909091483462853,0.6601307189542484,0.0,0.3202614379084967
activity__event7__activity__circadian__l5__p10,activity:level,IMPAIRED_vs_CN,56,85,0.9255999797979991,0.9259999807675678,-0.05756302521008403,-0.019492430732373427,0.528781512605042,0.0,0.05756302521008403
activity__event7__activity__circadian__l5__p90,activity:level,MCI_vs_CN,47,85,0.977666654586792,0.9733333169619243,0.05231539424280351,0.06651323369396123,0.5261576971214017,0.0,0.05231539424280351
activity__event7__activity__circadian__l5__p90,activity:level,DEM_vs_CN,9,85,0.9672121033530591,0.9733333169619243,-0.1111111111111111,-0.12184211224737677,0.5555555555555556,0.0,0.1111111111111111
activity__event7__activity__circadian__l5__p90,activity:level,IMPAIRED_vs_CN,56,85,0.9748333222071329,0.9733333169619243,0.026050420168067228,0.023249883463719295,0.5130252100840336,0.0,0.026050420168067228
activity__event7__activity__circadian__l5__iqr,activity:variability,MCI_vs_CN,47,85,0.022250004609425722,0.025166668891906774,-0.018272841051314142,-0.1133077980010736,0.509136420525657,0.0,0.018272841051314142
activity__event7__activity__circadian__l5__iqr,activity:variability,DEM_vs_CN,9,85,0.026083335975806032,0.025166668891906774,0.040522875816993466,0.042122548769031064,0.5202614379084968,0.0,0.040522875816993466
activity__event7__activity__circadian__l5__iqr,activity:variability,IMPAIRED_vs_CN,56,85,0.023166671013459483,0.025166668891906774,-0.008823529411764706,-0.07849083067245904,0.5044117647058823,0.0,0.008823529411764706
activity__event7__activity__circadian__l5__mad,activity:variability,MCI_vs_CN,47,85,0.011333334445953414,0.010166668693224634,0.10012515644555695,0.08408401502399275,0.5500625782227785,0.0,0.10012515644555695
activity__event7__activity__circadian__l5__mad,activity:variability,DEM_vs_CN,9,85,0.013666667540868316,0.010166668693224634,0.29150326797385623,0.3181816576762401,0.6457516339869281,0.0,0.29150326797385623
activity__event7__activity__circadian__l5__mad,activity:variability,IMPAIRED_vs_CN,56,85,0.01169230821805134,0.010166668693224634,0.13088235294117648,0.11214502059470481,0.5654411764705882,0.0,0.13088235294117648
