repeat,outer_fold,model,rank,feature
0,0,transformer,0,mmse__q01
0,0,transformer,1,mmse__q02
0,0,transformer,2,mmse__q03
0,0,transformer,3,mmse__q04
0,0,transformer,4,mmse__q05
0,0,transformer,5,mmse__q06
0,0,transformer,6,mmse__q07
0,0,transformer,7,mmse__q08
0,0,transformer,8,mmse__q09
0,0,transformer,9,mmse__q10
0,0,transformer,10,mmse__q12_1
0,0,transformer,11,mmse__q12_2
0,0,transformer,12,mmse__q12_3
0,0,transformer,13,mmse__q12_4
0,0,transformer,14,mmse__q12_5
0,0,transformer,15,mmse__q13_1
0,0,transformer,16,mmse__q13_2
0,0,transformer,17,mmse__q13_3
0,0,transformer,18,mmse__q14_1
0,0,transformer,19,mmse__q15
0,0,transformer,20,mmse__q16_1
0,0,transformer,21,mmse__q16_2
0,0,transformer,22,mmse__q16_3
0,0,transformer,23,mmse__q17
0,0,transformer,24,mmse__q18
0,0,transformer,25,mmse__q19
0,0,transformer,26,mmse__total
0,0,transformer,27,mmse__orientation_sum
0,0,transformer,28,mmse__memory_language_sum
0,0,transformer,29,sleep__scalar_sleep_score_latency__q10
0,0,transformer,30,sleep__seq_sleep_hr_iqr__iqr
0,0,transformer,31,activity__seq_activity_met_q10__q90
0,0,transformer,32,sleep__scalar_sleep_onset_latency__q90
0,0,transformer,33,sleep__scalar_sleep_score_latency__std
0,0,transformer,34,sleep__scalar_sleep_light__median
0,0,transformer,35,sleep__seq_sleep_hr_low_high_delta__q10
0,0,transformer,36,sleep__scalar_sleep_light__q90
0,0,transformer,37,sleep__scalar_sleep_onset_latency__iqr
0,0,transformer,38,sleep__seq_sleep_hr_std__iqr
0,0,transformer,39,sleep__scalar_sleep_onset_latency__mean
0,0,transformer,40,sleep__scalar_sleep_onset_latency__std
0,0,transformer,41,sleep__seq_sleep_stage_entropy__q10
0,0,transformer,42,sleep__scalar_sleep_light__q10
0,0,transformer,43,sleep__seq_sleep_stage_state_2_ratio__q90
0,0,transformer,44,sleep__scalar_sleep_score_latency__mean
0,0,transformer,45,activity__seq_activity_met_median__iqr
0,0,transformer,46,sleep__scalar_sleep_restless__rank_slope
0,0,transformer,47,sleep__scalar_sleep_score_latency__iqr
0,0,transformer,48,sleep__seq_sleep_hr_iqr__q90
0,0,transformer,49,activity__scalar_activity_rest__q10
0,0,transformer,50,sleep__seq_sleep_stage_transition_rate__q10
0,0,transformer,51,sleep__seq_sleep_stage_transition_rate__median
0,0,transformer,52,sleep__seq_sleep_hr_low_high_delta__mean
0,0,transformer,53,sleep__seq_sleep_hr_std__q90
0,0,transformer,54,activity__scalar_activity_rest__median
