feature,feature_family,comparison,class_median,cn_median,cliffs_delta,abs_cliffs_delta,class_nonmissing,cn_nonmissing
mmse__orientation_sum,MMSE,DEM vs CN,17.0,20.0,-0.9267973856209151,0.9267973856209151,9,85
mmse__total,MMSE,DEM vs CN,22.0,28.0,-0.9098039215686274,0.9098039215686274,9,85
mmse__memory_language_sum,MMSE,DEM vs CN,34.0,38.0,-0.8,0.8,9,85
mmse__q03,MMSE,DEM vs CN,1.0,2.0,-0.7542483660130719,0.7542483660130719,9,85
sleep__scalar_sleep_score_latency__q10,sleep,DEM vs CN,62.0,67.0,-0.6248366013071895,0.6248366013071895,9,85
activity__seq_activity_state_state_1_ratio__q10,activity,DEM vs CN,0.35563379526138306,0.27826619148254395,0.6052287581699346,0.6052287581699346,9,85
activity__seq_activity_state_state_1_ratio__median,activity,DEM vs CN,0.4305555522441864,0.34375,0.6026143790849673,0.6026143790849673,9,85
sleep__scalar_sleep_light__q90,sleep,DEM vs CN,23292.0,18234.0,0.6026143790849673,0.6026143790849673,9,85
sleep__scalar_sleep_light__mean,sleep,DEM vs CN,19578.62109375,14164.4345703125,0.5947712418300654,0.5947712418300654,9,85
sleep__scalar_sleep_light__median,sleep,DEM vs CN,19500.0,14400.0,0.5843137254901961,0.5843137254901961,9,85
sleep__scalar_sleep_score_deep__std,sleep,DEM vs CN,23.63938331604004,15.20207405090332,0.5843137254901961,0.5843137254901961,9,85
activity__scalar_activity_rest__median,activity,DEM vs CN,666.0,505.0,0.5816993464052288,0.5816993464052288,9,85
activity__scalar_activity_low__std,activity,DEM vs CN,52.668304443359375,81.72998046875,-0.5764705882352941,0.5764705882352941,9,85
activity__seq_activity_state_state_1_ratio__mean,activity,DEM vs CN,0.43744760751724243,0.34538233280181885,0.5738562091503268,0.5738562091503268,9,85
activity__scalar_activity_rest__mean,activity,DEM vs CN,659.02001953125,510.4571533203125,0.5686274509803921,0.5686274509803921,9,85
activity__scalar_activity_rest__q10,activity,DEM vs CN,538.0,413.0,0.5686274509803921,0.5686274509803921,9,85
activity__scalar_activity_met_min_low__std,activity,DEM vs CN,37.90060806274414,65.32978820800781,-0.5581699346405229,0.5581699346405229,9,85
sleep__scalar_sleep_restless__q90,sleep,DEM vs CN,55.70000076293945,43.0,0.5581699346405229,0.5581699346405229,9,85
mmse__q05,MMSE,DEM vs CN,1.0,2.0,-0.5555555555555556,0.5555555555555556,9,85
sleep__scalar_sleep_score_deep__iqr,sleep,DEM vs CN,35.0,5.5,0.5516339869281046,0.5516339869281046,9,85
