iter	Passed	Remaining
0	9	2372
1	13	1733
2	19	1602
3	26	1607
4	30	1484
5	34	1385
6	39	1360
7	45	1368
8	49	1314
9	53	1274
10	59	1298
11	63	1268
12	67	1239
13	75	1273
14	83	1310
15	89	1308
16	93	1286
17	97	1260
18	102	1246
19	107	1235
20	111	1215
21	115	1196
22	120	1190
23	125	1178
24	129	1161
25	133	1152
26	140	1156
27	144	1143
28	148	1128
29	153	1129
30	158	1116
31	161	1103
32	165	1090
33	171	1089
34	175	1077
35	179	1064
36	182	1052
37	188	1051
38	192	1043
39	198	1040
40	205	1048
41	209	1038
42	213	1026
43	219	1029
44	224	1020
45	227	1010
46	231	1000
47	237	1000
48	241	991
49	245	981
50	250	977
51	255	971
52	259	963
53	262	953
54	268	951
55	272	943
56	276	934
57	279	925
58	285	924
59	293	928
60	299	928
61	304	922
62	308	914
63	311	905
64	319	908
65	326	909
66	333	911
67	341	912
68	347	912
69	355	913
70	361	912
71	368	911
72	373	905
73	380	905
74	387	905
75	393	901
76	399	898
77	404	891
78	408	884
79	414	880
80	418	873
81	422	866
82	426	858
83	431	851
84	435	844
85	439	837
86	444	831
87	448	825
88	452	817
89	456	811
90	462	807
91	467	802
92	474	801
93	481	798
94	485	792
95	489	784
96	494	780
97	499	774
98	502	767
99	506	759
100	511	754
101	515	748
102	520	742
103	528	741
104	532	735
105	536	729
106	540	722
107	545	717
108	549	710
109	553	704
110	557	698
111	562	693
112	566	687
113	571	681
114	577	677
115	581	671
116	585	665
117	592	662
118	600	660
119	607	658
120	612	652
121	616	646
122	619	640
123	625	635
124	632	632
125	640	630
126	644	624
127	649	618
128	654	614
129	659	609
130	662	601
131	668	597
132	676	595
133	682	591
134	691	589
135	698	585
136	706	582
137	713	578
138	720	575
139	726	570
140	733	567
141	741	564
142	749	560
143	756	556
144	764	553
145	771	549
146	777	544
147	785	541
148	788	534
149	795	530
150	802	525
151	809	522
152	816	517
153	822	512
154	827	506
155	835	503
156	840	498
157	847	493
158	854	489
159	859	483
160	863	477
161	869	472
162	873	466
163	879	461
164	884	455
165	888	449
166	892	443
167	896	437
168	902	432
169	906	426
170	909	420
171	914	414
172	919	409
173	923	403
174	927	397
175	932	391
176	936	386
177	940	380
178	944	374
179	950	369
180	955	364
181	958	358
182	963	352
183	968	347
184	972	341
185	975	335
186	983	331
187	991	327
188	997	321
189	1000	316
190	1004	310
191	1009	304
192	1015	299
193	1019	294
194	1023	288
195	1030	283
196	1034	278
197	1038	272
198	1046	268
199	1050	262
200	1054	257
201	1058	251
202	1063	246
203	1067	240
204	1071	235
205	1073	229
206	1079	224
207	1083	218
208	1091	214
209	1097	208
210	1101	203
211	1104	198
212	1108	192
213	1114	187
214	1118	182
215	1122	176
216	1128	171
217	1132	166
218	1135	160
219	1139	155
220	1146	150
221	1153	145
222	1160	140
223	1167	135
224	1174	130
225	1179	125
226	1183	119
227	1187	114
228	1192	109
229	1198	104
230	1206	99
231	1212	94
232	1220	89
233	1223	83
234	1228	78
235	1232	73
236	1236	67
237	1241	62
238	1245	57
239	1248	52
240	1252	46
241	1257	41
242	1262	36
243	1266	31
244	1271	25
245	1275	20
246	1279	15
247	1283	10
248	1288	5
249	1293	0
