iter	Logloss
0	0.691687166
1	0.6894875859
2	0.687938433
3	0.6856596872
4	0.6837622825
5	0.6820342675
6	0.6796856141
7	0.6769218873
8	0.675300941
9	0.6737925497
10	0.6721822331
11	0.6706184216
12	0.6699180174
13	0.66780969
14	0.6651414164
15	0.662401135
16	0.661417929
17	0.6585180733
18	0.6562813748
19	0.6544349756
20	0.6520702919
21	0.6489443833
22	0.6478316061
23	0.6448443123
24	0.6432143651
25	0.639465975
26	0.6374412279
27	0.63491787
28	0.6323999555
29	0.6302465803
30	0.6282499506
31	0.6247725755
32	0.6232506398
33	0.6209860384
34	0.6182129678
35	0.6166296112
36	0.614663842
37	0.612224836
38	0.6100718895
39	0.6077647691
40	0.6061234206
41	0.6044177795
42	0.6002070395
43	0.5991832005
44	0.596272415
45	0.5950091073
46	0.5923287038
47	0.5904083252
48	0.5879622899
49	0.5872555422
50	0.5855315133
51	0.5838751632
52	0.5822866633
53	0.5808951131
54	0.5800094604
55	0.5782709443
56	0.5772777943
57	0.5769399579
58	0.5758558123
59	0.5738778275
60	0.5720630603
61	0.5698590654
62	0.5690520212
63	0.5685319365
64	0.5672746294
65	0.5666067573
66	0.5655189257
67	0.5646989801
68	0.5633919534
69	0.5621586489
70	0.5605745637
71	0.5597059271
72	0.5591890999
73	0.5579646678
74	0.5566506975
75	0.5557515862
76	0.5540672045
77	0.5535645217
78	0.5513245229
79	0.5501607402
80	0.5486889957
81	0.5472407395
82	0.5458896937
83	0.5451843605
84	0.5444052621
85	0.5435112942
86	0.5419826722
87	0.540251314
88	0.5388859952
89	0.5371860118
90	0.53597701
91	0.5348091554
92	0.5336512876
93	0.5323732355
94	0.5314114603
95	0.5298451627
96	0.5293075047
97	0.5289514949
98	0.5269739387
99	0.5261273331
100	0.5249485916
101	0.5235973744
102	0.5222024382
103	0.5217412027
104	0.5208818243
105	0.519457442
106	0.5184069859
107	0.5168396168
108	0.5160670763
109	0.5149665575
110	0.5135510905
111	0.5123055276
112	0.511244356
113	0.5102650503
114	0.5094848804
115	0.5085729963
116	0.5082233729
117	0.5070410311
118	0.5061114022
119	0.5032550083
120	0.502191865
121	0.5012615933
122	0.5002845164
123	0.499582012
124	0.4987348921
125	0.4980272872
126	0.4969271542
127	0.4954975857
128	0.4940551158
129	0.4934394922
130	0.4924826461
131	0.4908199525
132	0.4895234697
133	0.4891498866
134	0.4875786171
135	0.4861922961
136	0.4847798294
137	0.4837214009
138	0.4827386235
139	0.4822540712
