iter	Passed	Remaining
0	1	236
1	3	223
2	4	223
3	6	220
4	8	216
5	9	217
6	11	212
7	12	207
8	13	203
9	15	203
10	17	203
11	19	212
12	22	218
13	24	222
14	26	218
15	27	215
16	29	213
17	30	209
18	32	206
19	34	208
20	36	204
21	37	203
22	39	202
23	41	198
24	42	196
25	44	197
26	46	193
27	49	196
28	51	195
29	53	194
30	54	192
31	56	190
32	58	189
33	60	187
34	62	186
35	64	187
36	67	187
37	69	186
38	71	184
39	72	181
40	75	181
41	76	179
42	79	178
43	81	178
44	84	178
45	86	176
46	88	175
47	90	174
48	92	172
49	95	172
50	98	171
51	99	168
52	100	165
53	103	164
54	105	162
55	106	159
56	107	157
57	109	154
58	111	152
59	113	150
60	114	148
61	115	145
62	117	143
63	118	140
64	121	140
65	122	137
66	123	135
67	125	132
68	126	130
69	127	127
70	129	125
71	131	123
72	132	121
73	134	119
74	136	118
75	137	115
76	138	113
77	140	111
78	142	109
79	143	107
80	145	105
81	146	103
82	148	101
83	150	100
84	151	98
85	153	96
86	154	94
87	156	92
88	157	90
89	159	88
90	160	86
91	162	84
92	163	82
93	166	81
94	167	79
95	169	77
96	170	75
97	172	73
98	173	71
99	175	70
100	176	68
101	178	66
102	179	64
103	182	63
104	183	61
105	185	59
106	187	57
107	189	56
108	190	54
109	192	52
110	193	50
111	196	49
112	198	47
113	200	45
114	201	43
115	203	42
116	205	40
117	206	38
118	208	36
119	209	34
120	211	33
121	213	31
122	214	29
123	216	27
124	217	26
125	219	24
126	220	22
127	222	20
128	224	19
129	227	17
130	228	15
131	230	13
132	231	12
133	233	10
134	234	8
135	235	6
136	237	5
137	238	3
138	240	1
139	242	0
