iter	Passed	Remaining
0	10	90100
1	19	78889
2	28	77519
3	38	79120
4	48	78841
5	57	78137
6	66	77389
7	74	76517
8	83	75505
9	91	75218
10	100	74510
11	109	74427
12	117	73972
13	126	73890
14	135	73856
15	143	73481
16	152	73407
17	161	73173
18	169	73112
19	178	72902
20	187	72857
21	195	72765
22	204	72514
23	213	72594
24	221	72345
25	229	72205
26	238	72221
27	247	72285
28	256	72201
29	265	72244
30	274	72338
31	283	72223
32	292	72202
33	299	71974
34	309	72087
35	318	72170
36	327	72121
37	335	72024
38	343	71836
39	352	71886
40	360	71750
41	369	71740
42	379	71935
43	390	72326
44	403	72964
45	415	73568
46	431	74811
47	445	75630
48	459	76282
49	468	76305
50	478	76433
51	488	76413
52	497	76431
53	507	76446
54	516	76374
55	526	76516
56	536	76562
57	545	76542
58	555	76558
