iter	Passed	Remaining
0	1	359
1	3	327
2	5	383
3	8	399
4	10	407
5	13	446
6	16	451
7	19	467
8	22	485
9	25	488
10	28	485
11	32	510
12	36	523
13	39	526
14	42	529
15	46	539
16	50	546
17	53	541
18	56	538
19	60	543
20	62	536
21	67	544
22	70	545
23	75	551
24	77	545
25	82	550
26	85	545
27	89	550
28	94	555
29	97	551
30	101	552
31	105	554
32	109	551
33	113	554
34	117	552
35	121	554
36	125	553
37	129	551
38	133	549
39	135	543
40	139	539
41	142	535
42	146	533
43	149	530
44	153	529
45	157	526
46	160	521
47	163	518
48	166	513
49	169	509
50	172	504
51	175	499
52	177	493
53	179	486
54	182	480
55	184	473
56	187	469
57	189	463
58	191	458
59	194	454
60	196	447
61	198	441
62	200	435
63	202	430
64	204	425
65	206	419
66	208	413
67	210	408
68	212	404
69	214	398
70	216	393
71	218	387
72	220	383
73	221	377
74	223	372
75	225	367
76	226	362
77	228	357
78	229	352
79	231	347
80	232	342
81	234	336
82	235	331
83	237	327
84	238	322
85	239	317
86	241	313
87	243	309
88	244	305
89	245	300
90	247	296
91	248	291
92	249	287
93	250	283
94	252	279
95	254	275
96	255	270
97	256	267
98	257	263
99	258	258
100	260	255
101	261	251
102	262	247
103	263	243
104	264	239
105	266	235
106	267	232
107	268	228
108	269	225
109	271	221
110	272	218
111	274	215
112	275	212
113	276	208
114	277	205
115	278	201
116	279	198
117	280	195
118	282	192
119	283	189
120	284	185
121	285	182
122	287	179
123	289	177
124	290	174
125	291	170
126	292	168
127	293	165
128	294	162
129	295	159
130	296	156
131	297	153
132	299	150
133	300	147
134	301	145
135	303	142
136	304	139
137	305	137
138	306	134
139	307	131
140	309	129
141	310	126
142	311	124
143	312	121
144	313	119
145	315	116
146	316	114
147	318	111
148	319	109
149	320	106
150	321	104
151	323	102
152	324	99
153	325	97
154	326	94
155	328	92
156	329	90
157	330	87
158	332	85
159	333	83
160	335	81
161	336	78
162	337	76
163	339	74
164	340	72
165	341	69
166	342	67
167	343	65
168	345	63
169	346	61
170	348	59
171	349	56
172	350	54
173	351	52
174	352	50
175	353	48
176	354	46
177	355	43
178	357	41
179	358	39
180	359	37
181	360	35
182	361	33
183	363	31
184	364	29
185	365	27
186	367	25
187	369	23
188	370	21
189	372	19
190	373	17
191	374	15
192	375	13
193	376	11
194	378	9
195	379	7
196	380	5
197	381	3
198	382	1
199	383	0
